? INDEX PRICES — ราคา Index รายวัน (กรอกหรือ Paste จาก Bloomberg)					
วันที่	S&P 500	NASDAQ 100	Hang Seng	Nikkei 225	Euro Stoxx 50
02/01/2023	"4,689.04"	"12,862.81"	"19,760.93"	"31,505.77"	"4,269.02"
03/01/2023	"4,707.88"	"12,921.32"	"19,561.27"	"31,751.58"	"4,268.18"
04/01/2023	"4,597.84"	"12,855.36"	"19,609.01"	"31,442.41"	"4,309.71"
05/01/2023	"4,644.99"	"12,659.65"	"20,016.47"	"31,189.89"	"4,382.45"
06/01/2023	"4,644.04"	"12,553.75"	"20,013.86"	"32,031.69"	"4,369.27"
09/01/2023	"4,632.08"	"12,555.20"	"19,500.72"	"32,289.15"	"4,381.36"
10/01/2023	"4,703.47"	"12,591.23"	"19,994.11"	"32,621.56"	"4,335.46"
11/01/2023	"4,797.18"	"12,476.50"	"19,807.42"	"32,692.50"	"4,351.11"
12/01/2023	"4,769.57"	"12,448.01"	"20,432.14"	"32,441.31"	"4,379.97"
13/01/2023	"4,861.69"	"12,268.91"	"20,765.02"	"32,011.88"	"4,399.40"
16/01/2023	"4,872.93"	"12,430.98"	"20,853.65"	"32,631.09"	"4,471.55"
17/01/2023	"4,917.07"	"12,634.76"	"20,532.08"	"32,762.07"	"4,476.40"
18/01/2023	"4,878.84"	"12,611.78"	"20,585.20"	"32,939.34"	"4,488.66"
19/01/2023	"4,890.19"	"13,069.94"	"20,491.34"	"32,732.51"	"4,492.69"
20/01/2023	"4,910.69"	"13,369.60"	"20,236.13"	"33,160.08"	"4,472.56"
23/01/2023	"4,862.68"	"13,849.77"	"19,950.94"	"33,448.20"	"4,409.28"
24/01/2023	"4,773.02"	"14,053.38"	"20,060.44"	"33,488.20"	"4,537.90"
25/01/2023	"4,803.43"	"14,498.98"	"19,842.42"	"32,808.86"	"4,482.61"
26/01/2023	"4,752.55"	"14,339.89"	"20,097.29"	"32,954.81"	"4,395.98"
27/01/2023	"4,755.85"	"14,517.92"	"19,928.74"	"32,615.21"	"4,472.45"
30/01/2023	"4,789.17"	"14,473.76"	"20,217.77"	"32,207.95"	"4,496.81"
31/01/2023	"4,713.67"	"15,109.13"	"19,701.83"	"32,392.26"	"4,518.74"
01/02/2023	"4,705.30"	"15,049.25"	"19,909.43"	"32,339.40"	"4,514.70"
02/02/2023	"4,782.04"	"15,031.98"	"19,931.89"	"32,652.17"	"4,551.78"
03/02/2023	"4,722.85"	"14,927.54"	"20,540.27"	"32,209.02"	"4,503.60"
06/02/2023	"4,695.12"	"15,047.33"	"20,501.49"	"32,345.92"	"4,548.14"
07/02/2023	"4,695.22"	"15,318.36"	"20,296.86"	"32,044.44"	"4,506.21"
08/02/2023	"4,730.40"	"15,248.86"	"19,896.24"	"32,131.93"	"4,535.90"
09/02/2023	"4,733.53"	"15,352.93"	"19,876.60"	"32,089.10"	"4,620.57"
10/02/2023	"4,795.88"	"14,999.18"	"18,927.03"	"32,095.63"	"4,576.08"
13/02/2023	"4,783.72"	"15,211.05"	"18,679.42"	"32,234.63"	"4,583.54"
14/02/2023	"4,835.79"	"15,021.55"	"18,747.35"	"31,729.75"	"4,555.95"
15/02/2023	"4,805.36"	"15,142.33"	"18,457.70"	"31,843.14"	"4,532.59"
16/02/2023	"4,843.70"	"15,074.64"	"18,403.46"	"32,413.87"	"4,590.23"
17/02/2023	"4,882.62"	"14,711.34"	"18,647.26"	"32,683.29"	"4,497.84"
20/02/2023	"4,853.97"	"14,933.89"	"18,670.09"	"32,341.90"	"4,517.78"
21/02/2023	"4,821.07"	"15,066.12"	"18,765.00"	"31,831.08"	"4,606.05"
22/02/2023	"4,918.35"	"14,867.01"	"18,687.51"	"32,214.39"	"4,577.47"
23/02/2023	"4,868.57"	"14,744.69"	"18,258.92"	"32,783.30"	"4,589.42"
24/02/2023	"4,820.42"	"14,798.95"	"18,501.62"	"32,889.41"	"4,640.79"
27/02/2023	"4,838.65"	"14,582.38"	"18,343.73"	"32,730.43"	"4,570.48"
28/02/2023	"4,804.39"	"14,463.69"	"18,515.41"	"32,322.53"	"4,549.97"
01/03/2023	"4,836.19"	"14,642.93"	"18,434.68"	"32,543.69"	"4,554.81"
02/03/2023	"4,809.72"	"14,558.67"	"18,576.27"	"32,745.81"	"4,593.26"
03/03/2023	"4,792.05"	"14,407.56"	"18,341.22"	"32,443.70"	"4,589.26"
06/03/2023	"4,681.50"	"14,481.32"	"18,348.66"	"32,557.27"	"4,625.79"
07/03/2023	"4,613.37"	"14,096.00"	"17,715.26"	"31,975.18"	"4,634.65"
08/03/2023	"4,597.82"	"14,077.82"	"17,610.73"	"32,137.38"	"4,653.08"
09/03/2023	"4,728.63"	"14,259.46"	"17,690.71"	"31,976.00"	"4,626.78"
10/03/2023	"4,694.61"	"14,175.81"	"17,533.70"	"32,518.54"	"4,579.44"
13/03/2023	"4,702.94"	"14,432.52"	"17,408.27"	"32,420.00"	"4,503.49"
14/03/2023	"4,656.44"	"14,843.72"	"17,588.65"	"32,824.20"	"4,492.06"
15/03/2023	"4,636.87"	"14,906.75"	"17,550.45"	"32,880.09"	"4,487.66"
16/03/2023	"4,667.27"	"14,641.10"	"16,955.77"	"32,550.28"	"4,440.32"
17/03/2023	"4,668.47"	"14,706.60"	"16,916.88"	"32,060.69"	"4,404.78"
20/03/2023	"4,710.22"	"14,455.32"	"16,643.11"	"31,717.32"	"4,338.29"
21/03/2023	"4,691.47"	"14,214.87"	"16,595.71"	"31,343.49"	"4,467.35"
22/03/2023	"4,607.83"	"14,558.38"	"16,125.77"	"31,805.82"	"4,539.98"
23/03/2023	"4,543.87"	"14,604.02"	"16,517.56"	"32,196.16"	"4,626.73"
24/03/2023	"4,564.45"	"14,569.66"	"16,667.94"	"32,330.20"	"4,581.75"
27/03/2023	"4,634.69"	"14,687.60"	"16,553.98"	"31,938.54"	"4,599.95"
28/03/2023	"4,557.91"	"14,291.73"	"15,938.04"	"31,381.87"	"4,601.28"
