? FX RATES — อัตราแลกเปลี่ยนรายเดือน (เฉลี่ยสิ้นเดือน)					
เดือน (MM/YYYY)	USD/THB	HKD/THB	EUR/THB	JPY/THB	หมายเหตุ
01/2023	34.3481	4.4117	37.6226	0.2390	
02/2023	34.3611	4.3882	37.1987	0.2404	
03/2023	33.7312	4.3708	36.8103	0.2405	
04/2023	33.5883	4.3568	37.1011	0.2397	
05/2023	33.2778	4.3867	37.4153	0.2415	
06/2023	33.4201	4.3641	37.8489	0.2409	
07/2023	33.4662	4.3301	37.6035	0.2415	
08/2023	33.6467	4.3311	38.0674	0.2414	
09/2023	33.0851	4.3465	37.2446	0.2390	
10/2023	32.9697	4.3630	37.4383	0.2386	
11/2023	33.0619	4.3234	38.3318	0.2382	
12/2023	33.0231	4.3163	38.7615	0.2384	
01/2024	33.0692	4.3051	38.6148	0.2387	
02/2024	33.0588	4.3081	38.3891	0.2402	
03/2024	33.2004	4.3586	38.6378	0.2406	
04/2024	33.1875	4.3896	38.6691	0.2392	
05/2024	32.9843	4.3243	39.1945	0.2413	
06/2024	32.6297	4.2948	38.8820	0.2404	
					
					
					
					
					
					
					
?? ใส่อัตราแลกเปลี่ยนเฉลี่ยสิ้นเดือน | แหล่งข้อมูล: BOT / Bloomberg					
