? PBI_IndexPrices — ราคา Index (Long Format สำหรับ Power BI)		
Date	IndexName	Price
02/01/2023	S&P 500	"4,689.04"
02/01/2023	NASDAQ 100	"12,862.81"
02/01/2023	Hang Seng	"19,760.93"
02/01/2023	Nikkei 225	"31,505.77"
02/01/2023	Euro Stoxx 50	"4,269.02"
03/01/2023	S&P 500	"4,707.88"
03/01/2023	NASDAQ 100	"12,921.32"
03/01/2023	Hang Seng	"19,561.27"
03/01/2023	Nikkei 225	"31,751.58"
03/01/2023	Euro Stoxx 50	"4,268.18"
04/01/2023	S&P 500	"4,597.84"
04/01/2023	NASDAQ 100	"12,855.36"
04/01/2023	Hang Seng	"19,609.01"
04/01/2023	Nikkei 225	"31,442.41"
04/01/2023	Euro Stoxx 50	"4,309.71"
05/01/2023	S&P 500	"4,644.99"
05/01/2023	NASDAQ 100	"12,659.65"
05/01/2023	Hang Seng	"20,016.47"
05/01/2023	Nikkei 225	"31,189.89"
05/01/2023	Euro Stoxx 50	"4,382.45"
06/01/2023	S&P 500	"4,644.04"
06/01/2023	NASDAQ 100	"12,553.75"
06/01/2023	Hang Seng	"20,013.86"
06/01/2023	Nikkei 225	"32,031.69"
06/01/2023	Euro Stoxx 50	"4,369.27"
09/01/2023	S&P 500	"4,632.08"
09/01/2023	NASDAQ 100	"12,555.20"
09/01/2023	Hang Seng	"19,500.72"
09/01/2023	Nikkei 225	"32,289.15"
09/01/2023	Euro Stoxx 50	"4,381.36"
10/01/2023	S&P 500	"4,703.47"
10/01/2023	NASDAQ 100	"12,591.23"
10/01/2023	Hang Seng	"19,994.11"
10/01/2023	Nikkei 225	"32,621.56"
10/01/2023	Euro Stoxx 50	"4,335.46"
11/01/2023	S&P 500	"4,797.18"
11/01/2023	NASDAQ 100	"12,476.50"
11/01/2023	Hang Seng	"19,807.42"
11/01/2023	Nikkei 225	"32,692.50"
11/01/2023	Euro Stoxx 50	"4,351.11"
12/01/2023	S&P 500	"4,769.57"
12/01/2023	NASDAQ 100	"12,448.01"
12/01/2023	Hang Seng	"20,432.14"
12/01/2023	Nikkei 225	"32,441.31"
12/01/2023	Euro Stoxx 50	"4,379.97"
13/01/2023	S&P 500	"4,861.69"
13/01/2023	NASDAQ 100	"12,268.91"
13/01/2023	Hang Seng	"20,765.02"
13/01/2023	Nikkei 225	"32,011.88"
13/01/2023	Euro Stoxx 50	"4,399.40"
16/01/2023	S&P 500	"4,872.93"
16/01/2023	NASDAQ 100	"12,430.98"
16/01/2023	Hang Seng	"20,853.65"
16/01/2023	Nikkei 225	"32,631.09"
16/01/2023	Euro Stoxx 50	"4,471.55"
17/01/2023	S&P 500	"4,917.07"
17/01/2023	NASDAQ 100	"12,634.76"
17/01/2023	Hang Seng	"20,532.08"
17/01/2023	Nikkei 225	"32,762.07"
17/01/2023	Euro Stoxx 50	"4,476.40"
18/01/2023	S&P 500	"4,878.84"
18/01/2023	NASDAQ 100	"12,611.78"
18/01/2023	Hang Seng	"20,585.20"
18/01/2023	Nikkei 225	"32,939.34"
18/01/2023	Euro Stoxx 50	"4,488.66"
19/01/2023	S&P 500	"4,890.19"
19/01/2023	NASDAQ 100	"13,069.94"
19/01/2023	Hang Seng	"20,491.34"
19/01/2023	Nikkei 225	"32,732.51"
19/01/2023	Euro Stoxx 50	"4,492.69"
20/01/2023	S&P 500	"4,910.69"
20/01/2023	NASDAQ 100	"13,369.60"
20/01/2023	Hang Seng	"20,236.13"
20/01/2023	Nikkei 225	"33,160.08"
20/01/2023	Euro Stoxx 50	"4,472.56"
23/01/2023	S&P 500	"4,862.68"
23/01/2023	NASDAQ 100	"13,849.77"
23/01/2023	Hang Seng	"19,950.94"
23/01/2023	Nikkei 225	"33,448.20"
23/01/2023	Euro Stoxx 50	"4,409.28"
24/01/2023	S&P 500	"4,773.02"
24/01/2023	NASDAQ 100	"14,053.38"
24/01/2023	Hang Seng	"20,060.44"
24/01/2023	Nikkei 225	"33,488.20"
24/01/2023	Euro Stoxx 50	"4,537.90"
25/01/2023	S&P 500	"4,803.43"
25/01/2023	NASDAQ 100	"14,498.98"
25/01/2023	Hang Seng	"19,842.42"
25/01/2023	Nikkei 225	"32,808.86"
25/01/2023	Euro Stoxx 50	"4,482.61"
26/01/2023	S&P 500	"4,752.55"
26/01/2023	NASDAQ 100	"14,339.89"
26/01/2023	Hang Seng	"20,097.29"
26/01/2023	Nikkei 225	"32,954.81"
26/01/2023	Euro Stoxx 50	"4,395.98"
27/01/2023	S&P 500	"4,755.85"
27/01/2023	NASDAQ 100	"14,517.92"
27/01/2023	Hang Seng	"19,928.74"
27/01/2023	Nikkei 225	"32,615.21"
27/01/2023	Euro Stoxx 50	"4,472.45"
30/01/2023	S&P 500	"4,789.17"
30/01/2023	NASDAQ 100	"14,473.76"
30/01/2023	Hang Seng	"20,217.77"
30/01/2023	Nikkei 225	"32,207.95"
30/01/2023	Euro Stoxx 50	"4,496.81"
31/01/2023	S&P 500	"4,713.67"
31/01/2023	NASDAQ 100	"15,109.13"
31/01/2023	Hang Seng	"19,701.83"
31/01/2023	Nikkei 225	"32,392.26"
31/01/2023	Euro Stoxx 50	"4,518.74"
01/02/2023	S&P 500	"4,705.30"
01/02/2023	NASDAQ 100	"15,049.25"
01/02/2023	Hang Seng	"19,909.43"
01/02/2023	Nikkei 225	"32,339.40"
01/02/2023	Euro Stoxx 50	"4,514.70"
02/02/2023	S&P 500	"4,782.04"
02/02/2023	NASDAQ 100	"15,031.98"
02/02/2023	Hang Seng	"19,931.89"
02/02/2023	Nikkei 225	"32,652.17"
02/02/2023	Euro Stoxx 50	"4,551.78"
03/02/2023	S&P 500	"4,722.85"
03/02/2023	NASDAQ 100	"14,927.54"
03/02/2023	Hang Seng	"20,540.27"
03/02/2023	Nikkei 225	"32,209.02"
03/02/2023	Euro Stoxx 50	"4,503.60"
06/02/2023	S&P 500	"4,695.12"
06/02/2023	NASDAQ 100	"15,047.33"
06/02/2023	Hang Seng	"20,501.49"
06/02/2023	Nikkei 225	"32,345.92"
06/02/2023	Euro Stoxx 50	"4,548.14"
07/02/2023	S&P 500	"4,695.22"
07/02/2023	NASDAQ 100	"15,318.36"
07/02/2023	Hang Seng	"20,296.86"
07/02/2023	Nikkei 225	"32,044.44"
07/02/2023	Euro Stoxx 50	"4,506.21"
08/02/2023	S&P 500	"4,730.40"
08/02/2023	NASDAQ 100	"15,248.86"
08/02/2023	Hang Seng	"19,896.24"
08/02/2023	Nikkei 225	"32,131.93"
08/02/2023	Euro Stoxx 50	"4,535.90"
09/02/2023	S&P 500	"4,733.53"
09/02/2023	NASDAQ 100	"15,352.93"
09/02/2023	Hang Seng	"19,876.60"
09/02/2023	Nikkei 225	"32,089.10"
09/02/2023	Euro Stoxx 50	"4,620.57"
10/02/2023	S&P 500	"4,795.88"
10/02/2023	NASDAQ 100	"14,999.18"
10/02/2023	Hang Seng	"18,927.03"
10/02/2023	Nikkei 225	"32,095.63"
10/02/2023	Euro Stoxx 50	"4,576.08"
13/02/2023	S&P 500	"4,783.72"
13/02/2023	NASDAQ 100	"15,211.05"
13/02/2023	Hang Seng	"18,679.42"
13/02/2023	Nikkei 225	"32,234.63"
13/02/2023	Euro Stoxx 50	"4,583.54"
14/02/2023	S&P 500	"4,835.79"
14/02/2023	NASDAQ 100	"15,021.55"
14/02/2023	Hang Seng	"18,747.35"
14/02/2023	Nikkei 225	"31,729.75"
14/02/2023	Euro Stoxx 50	"4,555.95"
15/02/2023	S&P 500	"4,805.36"
15/02/2023	NASDAQ 100	"15,142.33"
15/02/2023	Hang Seng	"18,457.70"
15/02/2023	Nikkei 225	"31,843.14"
15/02/2023	Euro Stoxx 50	"4,532.59"
16/02/2023	S&P 500	"4,843.70"
16/02/2023	NASDAQ 100	"15,074.64"
16/02/2023	Hang Seng	"18,403.46"
16/02/2023	Nikkei 225	"32,413.87"
16/02/2023	Euro Stoxx 50	"4,590.23"
17/02/2023	S&P 500	"4,882.62"
17/02/2023	NASDAQ 100	"14,711.34"
17/02/2023	Hang Seng	"18,647.26"
17/02/2023	Nikkei 225	"32,683.29"
17/02/2023	Euro Stoxx 50	"4,497.84"
20/02/2023	S&P 500	"4,853.97"
20/02/2023	NASDAQ 100	"14,933.89"
20/02/2023	Hang Seng	"18,670.09"
20/02/2023	Nikkei 225	"32,341.90"
20/02/2023	Euro Stoxx 50	"4,517.78"
21/02/2023	S&P 500	"4,821.07"
21/02/2023	NASDAQ 100	"15,066.12"
21/02/2023	Hang Seng	"18,765.00"
21/02/2023	Nikkei 225	"31,831.08"
21/02/2023	Euro Stoxx 50	"4,606.05"
22/02/2023	S&P 500	"4,918.35"
22/02/2023	NASDAQ 100	"14,867.01"
22/02/2023	Hang Seng	"18,687.51"
22/02/2023	Nikkei 225	"32,214.39"
22/02/2023	Euro Stoxx 50	"4,577.47"
23/02/2023	S&P 500	"4,868.57"
23/02/2023	NASDAQ 100	"14,744.69"
23/02/2023	Hang Seng	"18,258.92"
23/02/2023	Nikkei 225	"32,783.30"
23/02/2023	Euro Stoxx 50	"4,589.42"
24/02/2023	S&P 500	"4,820.42"
24/02/2023	NASDAQ 100	"14,798.95"
24/02/2023	Hang Seng	"18,501.62"
24/02/2023	Nikkei 225	"32,889.41"
24/02/2023	Euro Stoxx 50	"4,640.79"
27/02/2023	S&P 500	"4,838.65"
27/02/2023	NASDAQ 100	"14,582.38"
27/02/2023	Hang Seng	"18,343.73"
27/02/2023	Nikkei 225	"32,730.43"
27/02/2023	Euro Stoxx 50	"4,570.48"
28/02/2023	S&P 500	"4,804.39"
28/02/2023	NASDAQ 100	"14,463.69"
28/02/2023	Hang Seng	"18,515.41"
28/02/2023	Nikkei 225	"32,322.53"
28/02/2023	Euro Stoxx 50	"4,549.97"
01/03/2023	S&P 500	"4,836.19"
01/03/2023	NASDAQ 100	"14,642.93"
01/03/2023	Hang Seng	"18,434.68"
01/03/2023	Nikkei 225	"32,543.69"
01/03/2023	Euro Stoxx 50	"4,554.81"
02/03/2023	S&P 500	"4,809.72"
02/03/2023	NASDAQ 100	"14,558.67"
02/03/2023	Hang Seng	"18,576.27"
02/03/2023	Nikkei 225	"32,745.81"
02/03/2023	Euro Stoxx 50	"4,593.26"
03/03/2023	S&P 500	"4,792.05"
03/03/2023	NASDAQ 100	"14,407.56"
03/03/2023	Hang Seng	"18,341.22"
03/03/2023	Nikkei 225	"32,443.70"
03/03/2023	Euro Stoxx 50	"4,589.26"
06/03/2023	S&P 500	"4,681.50"
06/03/2023	NASDAQ 100	"14,481.32"
06/03/2023	Hang Seng	"18,348.66"
06/03/2023	Nikkei 225	"32,557.27"
06/03/2023	Euro Stoxx 50	"4,625.79"
07/03/2023	S&P 500	"4,613.37"
07/03/2023	NASDAQ 100	"14,096.00"
07/03/2023	Hang Seng	"17,715.26"
07/03/2023	Nikkei 225	"31,975.18"
07/03/2023	Euro Stoxx 50	"4,634.65"
08/03/2023	S&P 500	"4,597.82"
08/03/2023	NASDAQ 100	"14,077.82"
08/03/2023	Hang Seng	"17,610.73"
08/03/2023	Nikkei 225	"32,137.38"
08/03/2023	Euro Stoxx 50	"4,653.08"
09/03/2023	S&P 500	"4,728.63"
09/03/2023	NASDAQ 100	"14,259.46"
09/03/2023	Hang Seng	"17,690.71"
09/03/2023	Nikkei 225	"31,976.00"
09/03/2023	Euro Stoxx 50	"4,626.78"
10/03/2023	S&P 500	"4,694.61"
10/03/2023	NASDAQ 100	"14,175.81"
10/03/2023	Hang Seng	"17,533.70"
10/03/2023	Nikkei 225	"32,518.54"
10/03/2023	Euro Stoxx 50	"4,579.44"
13/03/2023	S&P 500	"4,702.94"
13/03/2023	NASDAQ 100	"14,432.52"
