? PBI_FX — อัตราแลกเปลี่ยน (Long Format สำหรับ Power BI)		
Month	FXPair	Rate
01/2023	USD/THB	34.3481
01/2023	HKD/THB	4.4117
01/2023	EUR/THB	37.6226
01/2023	JPY/THB	0.2390
02/2023	USD/THB	34.3611
02/2023	HKD/THB	4.3882
02/2023	EUR/THB	37.1987
02/2023	JPY/THB	0.2404
03/2023	USD/THB	33.7312
03/2023	HKD/THB	4.3708
03/2023	EUR/THB	36.8103
03/2023	JPY/THB	0.2405
04/2023	USD/THB	33.5883
04/2023	HKD/THB	4.3568
04/2023	EUR/THB	37.1011
04/2023	JPY/THB	0.2397
05/2023	USD/THB	33.2778
05/2023	HKD/THB	4.3867
05/2023	EUR/THB	37.4153
05/2023	JPY/THB	0.2415
06/2023	USD/THB	33.4201
06/2023	HKD/THB	4.3641
06/2023	EUR/THB	37.8489
06/2023	JPY/THB	0.2409
07/2023	USD/THB	33.4662
07/2023	HKD/THB	4.3301
07/2023	EUR/THB	37.6035
07/2023	JPY/THB	0.2415
08/2023	USD/THB	33.6467
08/2023	HKD/THB	4.3311
08/2023	EUR/THB	38.0674
08/2023	JPY/THB	0.2414
09/2023	USD/THB	33.0851
09/2023	HKD/THB	4.3465
09/2023	EUR/THB	37.2446
09/2023	JPY/THB	0.2390
10/2023	USD/THB	32.9697
10/2023	HKD/THB	4.3630
10/2023	EUR/THB	37.4383
10/2023	JPY/THB	0.2386
11/2023	USD/THB	33.0619
11/2023	HKD/THB	4.3234
11/2023	EUR/THB	38.3318
11/2023	JPY/THB	0.2382
12/2023	USD/THB	33.0231
12/2023	HKD/THB	4.3163
12/2023	EUR/THB	38.7615
12/2023	JPY/THB	0.2384
01/2024	USD/THB	33.0692
01/2024	HKD/THB	4.3051
01/2024	EUR/THB	38.6148
01/2024	JPY/THB	0.2387
02/2024	USD/THB	33.0588
02/2024	HKD/THB	4.3081
02/2024	EUR/THB	38.3891
02/2024	JPY/THB	0.2402
03/2024	USD/THB	33.2004
03/2024	HKD/THB	4.3586
03/2024	EUR/THB	38.6378
03/2024	JPY/THB	0.2406
04/2024	USD/THB	33.1875
04/2024	HKD/THB	4.3896
04/2024	EUR/THB	38.6691
04/2024	JPY/THB	0.2392
05/2024	USD/THB	32.9843
05/2024	HKD/THB	4.3243
05/2024	EUR/THB	39.1945
05/2024	JPY/THB	0.2413
06/2024	USD/THB	32.6297
06/2024	HKD/THB	4.2948
06/2024	EUR/THB	38.8820
06/2024	JPY/THB	0.2404
		
?? Long format: 1 แถว = 1 คู่ FX 1 เดือน | อัปเดตจาก ? FX Rates		
