ProductID	Company	ProductName	IndexName	Currency	ParticipationRate	CapRate	FloorRate	TermYears	Status	CohortNo	CohortStartDate	CohortEndDate	IndexBaseValue	Date	Price	FXMonth	FXPair	FXRate	IndexNormalized	RawIndexReturn	ParticipatedReturn	CreditedReturn	ProductValue
AIA_SP500	AIA Thailand	AIA S&P 500 Linked	S&P 500	USD	80.00%	12.00%	0.00%	5	Active	1	2023-01-01	2028-01-01	"4,700.58"	2023-01-02	"4,689.04"	2023-01-01	USD/THB	34.35	100.00	-0.25%	-0.20%	0.00%	100.00
AIA_SP500	AIA Thailand	AIA S&P 500 Linked	S&P 500	USD	80.00%	12.00%	0.00%	5	Active	1	2023-01-01	2028-01-01	"4,700.58"	2023-01-03	"4,707.88"	2023-01-01	USD/THB	34.35	100.40	0.16%	0.12%	0.12%	100.12
AIA_SP500	AIA Thailand	AIA S&P 500 Linked	S&P 500	USD	80.00%	12.00%	0.00%	5	Active	1	2023-01-01	2028-01-01	"4,700.58"	2023-01-04	"4,597.84"	2023-01-01	USD/THB	34.35	98.06	-2.19%	-1.75%	0.00%	100.00
AIA_SP500	AIA Thailand	AIA S&P 500 Linked	S&P 500	USD	80.00%	12.00%	0.00%	5	Active	1	2023-01-01	2028-01-01	"4,700.58"	2023-01-05	"4,644.99"	2023-01-01	USD/THB	34.35	99.06	-1.18%	-0.95%	0.00%	100.00
AIA_SP500	AIA Thailand	AIA S&P 500 Linked	S&P 500	USD	80.00%	12.00%	0.00%	5	Active	1	2023-01-01	2028-01-01	"4,700.58"	2023-01-06	"4,644.04"	2023-01-01	USD/THB	34.35	99.04	-1.20%	-0.96%	0.00%	100.00
AIA_SP500	AIA Thailand	AIA S&P 500 Linked	S&P 500	USD	80.00%	12.00%	0.00%	5	Active	1	2023-01-01	2028-01-01	"4,700.58"	2023-01-09	"4,632.08"	2023-01-01	USD/THB	34.35	98.79	-1.46%	-1.17%	0.00%	100.00
AIA_SP500	AIA Thailand	AIA S&P 500 Linked	S&P 500	USD	80.00%	12.00%	0.00%	5	Active	1	2023-01-01	2028-01-01	"4,700.58"	2023-01-10	"4,703.47"	2023-01-01	USD/THB	34.35	100.31	0.06%	0.05%	0.05%	100.05
AIA_SP500	AIA Thailand	AIA S&P 500 Linked	S&P 500	USD	80.00%	12.00%	0.00%	5	Active	1	2023-01-01	2028-01-01	"4,700.58"	2023-01-11	"4,797.18"	2023-01-01	USD/THB	34.35	102.31	2.06%	1.64%	1.64%	101.64
AIA_SP500	AIA Thailand	AIA S&P 500 Linked	S&P 500	USD	80.00%	12.00%	0.00%	5	Active	1	2023-01-01	2028-01-01	"4,700.58"	2023-01-12	"4,769.57"	2023-01-01	USD/THB	34.35	101.72	1.47%	1.17%	1.17%	101.17
AIA_SP500	AIA Thailand	AIA S&P 500 Linked	S&P 500	USD	80.00%	12.00%	0.00%	5	Active	1	2023-01-01	2028-01-01	"4,700.58"	2023-01-13	"4,861.69"	2023-01-01	USD/THB	34.35	103.68	3.43%	2.74%	2.74%	102.74
